case_name,cv_100,cv_1000,cv_200,cv_400,cv_600,cv_800,dual_inf_100,dual_inf_1000,dual_inf_200,dual_inf_400,dual_inf_600,dual_inf_800,nlp_err_100,nlp_err_1000,nlp_err_200,nlp_err_400,nlp_err_600,nlp_err_800,obj_100,obj_1000,obj_200,obj_400,obj_600,obj_800
pglib_opf_case1951_rte.m,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,1.2842424890898513e-09,1.2842424890898513e-09,1.2842424890898513e-09,1.2842424890898513e-09,1.2842424890898513e-09,1.2842424890898513e-09,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,4.0442693638453875e-09,1.6108300346471298e+04,1.6108300346471298e+04,1.6108300346471298e+04,1.6108300346471298e+04,1.6108300346471298e+04,1.6108300346471298e+04
pglib_opf_case2000_goc.m,1.0936251904070105e-12,1.0936251904070105e-12,1.0936251904070105e-12,1.0936251904070105e-12,1.0936251904070105e-12,1.0936251904070105e-12,1.3650523135127442e-10,1.3650523135127442e-10,1.3650523135127442e-10,1.3650523135127442e-10,1.3650523135127442e-10,1.3650523135127442e-10,2.5206166930725560e-09,2.5206166930725560e-09,2.5206166930725560e-09,2.5206166930725560e-09,2.5206166930725560e-09,2.5206166930725560e-09,1.3069716320357906e+04,1.3069716320357906e+04,1.3069716320357906e+04,1.3069716320357906e+04,1.3069716320357906e+04,1.3069716320357906e+04
pglib_opf_case2000_goc__api.m,2.4468116421871855e-10,2.4468116421871855e-10,2.4468116421871855e-10,2.4468116421871855e-10,2.4468116421871855e-10,2.4468116421871855e-10,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,6.7155318123983108e-09,1.9718452194527599e+04,1.9718452194527599e+04,1.9718452194527599e+04,1.9718452194527599e+04,1.9718452194527599e+04,1.9718452194527599e+04
pglib_opf_case200_activ.m,6.0576324338590393e-10,6.0576324338590393e-10,6.0576324338590393e-10,6.0576324338590393e-10,6.0576324338590393e-10,6.0576324338590393e-10,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,2.5352197150061165e-09,1.1881335891027079e+03,1.1881335891027079e+03,1.1881335891027079e+03,1.1881335891027079e+03,1.1881335891027079e+03,1.1881335891027079e+03
pglib_opf_case200_activ__api.m,5.9880834145376038e-10,5.9880834145376038e-10,5.9880834145376038e-10,5.9880834145376038e-10,5.9880834145376038e-10,5.9880834145376038e-10,3.8463969528101312e-11,3.8463969528101312e-11,3.8463969528101312e-11,3.8463969528101312e-11,3.8463969528101312e-11,3.8463969528101312e-11,4.6312908811141997e-09,4.6312908811141997e-09,4.6312908811141997e-09,4.6312908811141997e-09,4.6312908811141997e-09,4.6312908811141997e-09,1.5392544247052938e+03,1.5392544247052938e+03,1.5392544247052938e+03,1.5392544247052938e+03,1.5392544247052938e+03,1.5392544247052938e+03
pglib_opf_case2312_goc.m,7.7362279949787341e-14,7.7362279949787341e-14,7.7362279949787341e-14,7.7362279949787341e-14,7.7362279949787341e-14,7.7362279949787341e-14,1.5156833914529182e-11,1.5156833914529182e-11,1.5156833914529182e-11,1.5156833914529182e-11,1.5156833914529182e-11,1.5156833914529182e-11,2.5059052219539907e-09,2.5059052219539907e-09,2.5059052219539907e-09,2.5059052219539907e-09,2.5059052219539907e-09,2.5059052219539907e-09,3.0905485218323915e+03,3.0905485218323915e+03,3.0905485218323915e+03,3.0905485218323915e+03,3.0905485218323915e+03,3.0905485218323915e+03
pglib_opf_case2312_goc__api.m,2.4797268405318817e-11,2.4797268405318817e-11,2.4797268405318817e-11,2.4797268405318817e-11,2.4797268405318817e-11,2.4797268405318817e-11,8.2136731729231493e-10,8.2136731729231493e-10,8.2136731729231493e-10,8.2136731729231493e-10,8.2136731729231493e-10,8.2136731729231493e-10,2.7829251703372703e-09,2.7829251703372703e-09,2.7829251703372703e-09,2.7829251703372703e-09,2.7829251703372703e-09,2.7829251703372703e-09,4.0022084830302665e+03,4.0022084830302665e+03,4.0022084830302665e+03,4.0022084830302665e+03,4.0022084830302665e+03,4.0022084830302665e+03
pglib_opf_case2383wp_k.m,5.7714576173761856e-11,5.7714576173761856e-11,5.7714576173761856e-11,5.7714576173761856e-11,5.7714576173761856e-11,5.7714576173761856e-11,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,6.0104269777085803e-09,1.0941733533647417e+04,1.0941733533647417e+04,1.0941733533647417e+04,1.0941733533647417e+04,1.0941733533647417e+04,1.0941733533647417e+04
pglib_opf_case2383wp_k__api.m,6.2769092847391121e-14,6.2769092847391121e-14,6.2769092847391121e-14,6.2769092847391121e-14,6.2769092847391121e-14,6.2769092847391121e-14,1.4751930605589153e-12,1.4751930605589153e-12,1.4751930605589153e-12,1.4751930605589153e-12,1.4751930605589153e-12,1.4751930605589153e-12,2.5061710834298772e-09,2.5061710834298772e-09,2.5061710834298772e-09,2.5061710834298772e-09,2.5061710834298772e-09,2.5061710834298772e-09,1.6348003842013866e+03,1.6348003842013866e+03,1.6348003842013866e+03,1.6348003842013866e+03,1.6348003842013866e+03,1.6348003842013866e+03
pglib_opf_case240_pserc.m,5.1729981604420554e-12,5.1729981604420554e-12,5.1729981604420554e-12,5.1729981604420554e-12,5.1729981604420554e-12,5.1729981604420554e-12,1.8520615335942204e-10,1.8520615335942204e-10,1.8520615335942204e-10,1.8520615335942204e-10,1.8520615335942204e-10,1.8520615335942204e-10,2.5124010831414198e-09,2.5124010831414198e-09,2.5124010831414198e-09,2.5124010831414198e-09,2.5124010831414198e-09,2.5124010831414198e-09,2.3884581936344810e+04,2.3884581936344810e+04,2.3884581936344810e+04,2.3884581936344810e+04,2.3884581936344810e+04,2.3884581936344810e+04
